# ACHILLES Virtual-Resonances pi+ on 12C (CrossSection mode, radius=10fm beam disk)
# CORRECT normalisation piR2=pi*radius^2*10=3141.6mb (was under-normalised 2.38x before)
# p_pi[MeV]  sigma_reaction[mb]  sigma_abs[mb]  n_acc
95.0  77.40  59.72  127
125.0  122.49  72.52  201
155.0  168.20  79.83  276
185.0  294.35  108.48  483
215.0  467.43  143.22  767
245.0  576.52  167.59  946
275.0  621.61  181.00  1020
305.0  642.34  187.09  1054
335.0  528.98  130.42  868
365.0  436.96  113.96  717
395.0  368.09  109.09  604
425.0  303.49  77.40  498
455.0  231.58  68.87  380
485.0  245.60  55.46  403
